Martin packaging metrics,domingo, 5 dez 2021 21:19:11 WET
Package,A,Ca,Ce,D,I
"org.jabref.gui.util.component","0,00",4,16,"0,20","0,80"
"org.jabref.gui.util.uithreadaware","0,00",5,0,"1,00","0,00"
"org.jabref.logic","0,00",52,17,"0,75","0,25"
"org.jabref.logic.autosaveandbackup","0,00",40,57,"0,41","0,59"
"org.jabref.logic.auxparser","0,33",40,40,"0,17","0,50"
"org.jabref.logic.bibtex","0,00",145,122,"0,54","0,46"
"org.jabref.logic.bibtex.comparator","0,00",94,258,"0,27","0,73"
"org.jabref.logic.bst","0,10",4,76,"0,05","0,95"
"org.jabref.logic.citationkeypattern","0,12",245,211,"0,41","0,49"
"org.jabref.logic.citationstyle","0,00",71,66,"0,52","0,34"
"org.jabref.logic.cleanup","0,09",524,491,"0,43","0,52"
"org.jabref.logic.crawler","0,00",6,177,"0,03","0,97"
"org.jabref.logic.database","0,00",37,197,"0,16","0,84"
"org.jabref.logic.exporter","0,08",278,1 257,"0,10","0,82"
"org.jabref.logic.externalfiles","0,00",18,50,"0,26","0,74"
"org.jabref.logic.formatter","0,00",12,50,"0,19","0,81"
"org.jabref.logic.formatter.bibtexfields","0,00",101,172,"0,37","0,63"
"org.jabref.logic.formatter.casechanger","0,00",41,43,"0,49","0,51"
"org.jabref.logic.formatter.minifier","0,00",3,10,"0,23","0,77"
"org.jabref.logic.git","0,00",33,2,"0,94","0,06"
"org.jabref.logic.groups","0,00",12,6,"0,67","0,33"
"org.jabref.logic.help","0,00",92,0,"1,00","0,00"
"org.jabref.logic.importer","0,48",2 077,316,"0,38","0,13"
"org.jabref.logic.importer.fetcher","0,02",165,1 646,"0,07","0,92"
"org.jabref.logic.importer.fetcher.transformers","0,21",64,20,"0,55","0,24"
"org.jabref.logic.importer.fileformat","0,00",301,2 707,"0,10","0,90"
"org.jabref.logic.importer.util","0,00",53,459,"0,10","0,90"
"org.jabref.logic.integrity","0,08",77,427,"0,08","0,85"
"org.jabref.logic.journals","0,00",165,0,"1,00","0,00"
"org.jabref.logic.l10n","0,00",4 109,0,"1,00","0,00"
"org.jabref.logic.layout","0,30",584,147,"0,50","0,20"
"org.jabref.logic.layout.format","0,00",140,320,"0,30","0,70"
"org.jabref.logic.logging","0,00",11,0,"1,00","0,00"
"org.jabref.logic.msbib","0,00",6,350,"0,02","0,98"
"org.jabref.logic.net","0,00",164,4,"0,98","0,02"
"org.jabref.logic.openoffice","0,00",109,29,"0,79","0,21"
"org.jabref.logic.openoffice.action","0,00",0,211,"0,00","1,00"
"org.jabref.logic.openoffice.backend","0,00",15,212,"0,07","0,93"
"org.jabref.logic.openoffice.frontend","0,00",40,265,"0,13","0,87"
"org.jabref.logic.openoffice.style","0,00",142,492,"0,22","0,77"
"org.jabref.logic.pdf","0,20",13,55,"0,01","0,81"
"org.jabref.logic.pdf.search.indexing","0,00",32,119,"0,21","0,79"
"org.jabref.logic.pdf.search.retrieval","0,00",12,14,"0,46","0,54"
"org.jabref.logic.preferences","0,00",119,3,"0,98","0,02"
"org.jabref.logic.preview","1,00",126,2,"0,02","0,02"
"org.jabref.logic.protectedterms","0,00",96,10,"0,91","0,09"
"org.jabref.logic.remote","0,00",27,0,"1,00","0,00"
"org.jabref.logic.remote.client","0,00",23,24,"0,49","0,51"
"org.jabref.logic.remote.server","0,25",52,30,"0,38","0,37"
"org.jabref.logic.remote.shared","0,00",36,0,"1,00","0,00"
"org.jabref.logic.search","0,33",68,51,"0,24","0,43"
"org.jabref.logic.shared","0,29",141,246,"0,08","0,64"
"org.jabref.logic.shared.event","0,00",19,15,"0,56","0,44"
"org.jabref.logic.shared.exception","0,00",18,9,"0,67","0,33"
"org.jabref.logic.shared.listener","0,00",5,8,"0,38","0,62"
"org.jabref.logic.shared.prefs","0,00",44,15,"0,75","0,25"
"org.jabref.logic.shared.security","0,00",8,0,"1,00","0,00"
"org.jabref.logic.texparser","0,33",7,67,"0,24","0,91"
"org.jabref.logic.undo","0,00",5,0,"1,00","0,00"
"org.jabref.logic.util","0,08",2 181,170,"0,85","0,07"
"org.jabref.logic.util.io","0,08",225,65,"0,70","0,25"
"org.jabref.logic.util.strings","0,00",114,16,"0,88","0,12"
"org.jabref.logic.xmp","0,00",78,197,"0,28","0,72"
"org.jabref.migrations","0,14",16,465,"0,11","0,97"
"org.jabref.model","0,67",351,8,"0,31","0,02"
"org.jabref.model.database","0,00",2 775,200,"0,93","0,07"
"org.jabref.model.database.event","0,00",43,16,"0,73","0,27"
"org.jabref.model.entry","0,00",10 388,642,"0,94","0,06"
"org.jabref.model.entry.event","0,20",116,22,"0,64","0,16"
"org.jabref.model.entry.field","0,08",13 210,18,"0,92","0,00"
